label,q,score,source
good,就労ビザに必要な書類は,,https://example.go.jp/visa; https://example.go.jp/visa_renew
needs_improvement,就労ビザに必要な書類は,,https://example.go.jp/visa; https://example.go.jp/visa_renew
good,就労ビザに必要な書類は,,https://example.go.jp/visa; https://example.go.jp/visa_renew
good,就労ビザに必要な書類は,,https://example.go.jp/visa; https://example.go.jp/visa_renew
needs_improvement,就労ビザに必要な書類は,,https://example.go.jp/visa; https://example.go.jp/visa_renew
good,就労ビザに必要な書類は,,https://example.go.jp/visa; https://example.go.jp/visa_renew
good,就労ビザに必要な書類は,,https://example.go.jp/visa; https://example.go.jp/visa_renew
needs_improvement,就労ビザに必要な書類は,,https://example.go.jp/visa; https://example.go.jp/visa_renew
good,就労ビザに必要な書類は,,https://example.go.jp/visa; https://example.go.jp/visa_renew
good,就労ビザに必要な書類は,,https://example.go.jp/visa; https://example.go.jp/visa_renew
needs_improvement,就労ビザに必要な書類は,,https://example.go.jp/visa; https://example.go.jp/visa_renew
good,就労ビザに必要な書類は,,https://example.go.jp/visa; https://example.go.jp/visa_renew
good,就労ビザに必要な書類は,,https://example.go.jp/visa; https://example.go.jp/visa_renew
needs_improvement,就労ビザに必要な書類は,,https://example.go.jp/visa; https://example.go.jp/visa_renew
good,就労ビザに必要な書類は,,https://example.go.jp/visa; https://example.go.jp/visa_renew
